Source,Target,Type,Id,Label,timeset,Weight
75508,75068,Directed,11725,,,1
75508,102702,Directed,13835,,,1
75508,98991,Directed,13836,,,1
75520,10492,Directed,11729,,,1
75726,48678,Directed,11746,,,1
75726,75726,Directed,11747,,,3
75726,488,Directed,12126,,,2
75766,3519,Directed,11738,,,1
75766,13770,Directed,11739,,,2
75766,25312,Directed,13373,,,1
75766,1659,Directed,13374,,,1
76044,119,Directed,12838,,,2
76044,785,Directed,12993,,,1
76044,102430,Directed,13473,,,1
76254,5090,Directed,12860,,,1
76254,14571,Directed,12960,,,1
76313,10492,Directed,11777,,,11
76313,43460,Directed,12615,,,1
76313,106388,Directed,12626,,,1
76313,106750,Directed,12636,,,1
76684,76684,Directed,11961,,,1
77058,43,Directed,11800,,,1
77369,119,Directed,11808,,,72
77369,77369,Directed,11811,,,69
77373,119,Directed,11809,,,1
77715,77715,Directed,11823,,,2
77799,76313,Directed,11822,,,1
77799,10492,Directed,12513,,,1
77799,69692,Directed,13985,,,1
77985,77985,Directed,11826,,,2
77985,79686,Directed,11931,,,1
78008,859,Directed,13393,,,1
78194,78194,Directed,12533,,,1
78342,1115,Directed,11849,,,2
78692,93301,Directed,12062,,,1
78692,14472,Directed,12821,,,1
78732,11711,Directed,11877,,,2
78732,78732,Directed,11959,,,1
78732,14212,Directed,12165,,,1
78838,78838,Directed,11886,,,1
78838,152525,Directed,13757,,,1
78838,152526,Directed,13758,,,1
78838,31050,Directed,13759,,,1
78838,80132,Directed,13760,,,1
78838,152528,Directed,13761,,,1
78838,152529,Directed,13762,,,1
78838,153411,Directed,13763,,,1
78838,153412,Directed,13764,,,1
78838,152554,Directed,13765,,,1
78838,153413,Directed,13766,,,1
78838,79129,Directed,13767,,,1
79129,78838,Directed,11894,,,1
79129,152525,Directed,13778,,,1
79129,152526,Directed,13779,,,1
79129,31050,Directed,13780,,,1
79129,80132,Directed,13781,,,1
79129,152528,Directed,13782,,,1
79129,152529,Directed,13783,,,1
79129,153411,Directed,13784,,,1
79129,153412,Directed,13785,,,1
79129,152554,Directed,13786,,,1
79129,153413,Directed,13787,,,1
79129,79129,Directed,13788,,,1
79186,39,Directed,13266,,,2
79186,79186,Directed,13280,,,1
79210,79210,Directed,11913,,,1
79210,151,Directed,11914,,,1
79299,79706,Directed,11985,,,2
79299,84421,Directed,11986,,,1
79299,79299,Directed,11987,,,1
79299,39,Directed,13808,,,1
79347,8114,Directed,11904,,,4
79347,76901,Directed,11905,,,3
79347,79026,Directed,11906,,,1
79347,8117,Directed,11908,,,4
79347,26543,Directed,11978,,,1
79347,75068,Directed,11979,,,1
79347,48,Directed,12023,,,6
79347,3400,Directed,12070,,,9
79347,6081,Directed,12071,,,2
79347,1652,Directed,12072,,,2
79347,1012,Directed,12934,,,1
79347,44677,Directed,12935,,,1
79623,79623,Directed,11911,,,1
79686,77985,Directed,11915,,,4
79706,79706,Directed,11916,,,2
79706,79299,Directed,11917,,,2
79706,84421,Directed,11982,,,1
80132,78838,Directed,11930,,,1
80146,122043,Directed,12989,,,1
80238,80238,Directed,11940,,,1
80486,11583,Directed,11938,,,38
80486,12217,Directed,12014,,,5
80486,96736,Directed,12244,,,5
80486,7024,Directed,12360,,,3
80486,9565,Directed,12428,,,2
80486,75014,Directed,12818,,,4
80486,114139,Directed,12867,,,1
80486,116916,Directed,12947,,,7
80486,126323,Directed,13136,,,1
80486,58051,Directed,13309,,,1
80486,125164,Directed,13310,,,1
80486,102343,Directed,13328,,,5
80486,34603,Directed,13352,,,1
80486,21,Directed,13353,,,1
80486,101858,Directed,13462,,,1
80486,5975,Directed,13688,,,1
80486,146056,Directed,13828,,,4
80486,5467,Directed,13967,,,2
80486,86209,Directed,13982,,,1
80486,101984,Directed,14047,,,1
80882,21565,Directed,11942,,,1
80882,32721,Directed,11943,,,1
80882,119,Directed,12978,,,1
80900,80901,Directed,11944,,,3
80900,151,Directed,12056,,,1
80901,151,Directed,12055,,,1
80965,116096,Directed,12843,,,2
80965,139835,Directed,13427,,,4
80965,80965,Directed,13441,,,3
80965,128269,Directed,13533,,,1
82606,21874,Directed,11956,,,1
82606,82606,Directed,11957,,,1
84253,20968,Directed,11968,,,2
84253,84253,Directed,11969,,,2
84473,43,Directed,11975,,,1
84835,119,Directed,11981,,,2
84953,84953,Directed,12012,,,1
84987,48955,Directed,12004,,,4
84987,31351,Directed,13162,,,2
84987,31352,Directed,13163,,,2
84987,413,Directed,13164,,,1
84992,84992,Directed,12916,,,5
85049,85049,Directed,11996,,,11
85075,85075,Directed,11995,,,1
85075,103670,Directed,13114,,,1
85075,4926,Directed,13501,,,1
85182,2905,Directed,13247,,,1
85290,43859,Directed,11997,,,1
85651,9623,Directed,12297,,,18
85651,43,Directed,13629,,,1
85723,11353,Directed,12001,,,2
85723,85723,Directed,12003,,,1
86209,86210,Directed,12006,,,1
86209,11583,Directed,12646,,,3
86209,102343,Directed,14032,,,1
86344,86344,Directed,12008,,,4
87954,87954,Directed,12015,,,1
89224,107758,Directed,12550,,,1
89444,89444,Directed,12019,,,1
90046,90046,Directed,13207,,,1
90046,119,Directed,13231,,,1
90153,90153,Directed,12029,,,2
90391,154492,Directed,13829,,,1
90391,154493,Directed,13830,,,1
90391,1843,Directed,13831,,,1
90787,120549,Directed,12958,,,1
91199,2223,Directed,12054,,,4
91199,91199,Directed,12822,,,25
93076,43,Directed,12739,,,1
93091,93092,Directed,12057,,,1
93505,38226,Directed,12069,,,1
93505,93730,Directed,12964,,,1
93628,93628,Directed,12077,,,1
93639,2449,Directed,12073,,,2
93730,38226,Directed,12075,,,1
93730,93505,Directed,12954,,,1
93730,93350,Directed,12961,,,1
93910,62134,Directed,12094,,,1
93910,93909,Directed,12095,,,1
93910,62137,Directed,12096,,,1
93910,62139,Directed,12097,,,1
93910,93910,Directed,12098,,,1
93910,62140,Directed,12099,,,1
93910,62282,Directed,12100,,,1
93910,93911,Directed,12101,,,1
93910,119,Directed,13378,,,1
93911,62134,Directed,12086,,,1
93911,93909,Directed,12087,,,1
93911,62137,Directed,12088,,,1
93911,62139,Directed,12089,,,1
93911,93910,Directed,12090,,,1
93911,62140,Directed,12091,,,1
93911,62282,Directed,12092,,,1
93911,93911,Directed,12093,,,1
94492,94492,Directed,12140,,,2
94492,175,Directed,12276,,,1
94530,20,Directed,12143,,,1
94785,8114,Directed,12153,,,2
94785,119,Directed,12154,,,1
94785,3119,Directed,12155,,,1
94785,8117,Directed,12156,,,1
94785,117848,Directed,12861,,,1
94785,94785,Directed,12974,,,3
94785,16669,Directed,13010,,,3
94935,2758,Directed,12171,,,1
94935,21209,Directed,12172,,,2
94935,21334,Directed,12173,,,2
94935,24270,Directed,12174,,,1
94935,1272,Directed,12175,,,1
