node,centrality
alexa,0.12730511660795654
amazon,0.04778183878790318
siri,0.03657036907162423
ai,0.01343319224149932
cortana,0.011030220036231511
iot,0.010883681845346478
apple,0.0104907101073529
echo,0.00955903980055107
tech,0.00925841743894486
google,0.0076135818160539106
smarthome,0.0068884250945254934
amazonecho,0.006777757246965177
googlehome,0.006045247016620845
virtualassistants,0.005598318333755659
heygoogle,0.004649746881037206
microsoft,0.004644544500208185
voicefirst,0.004383898140167432
artificialintelligence,0.004163448383396766
technews,0.004005757227424628
voice,0.003991674491535109
homeautomation,0.003983412132381411
talkradio,0.00389945977734752
seo,0.0037963313086884012
homepod,0.003661869075929353
amazonalexa,0.0036580580090273015
echodot,0.003547008025630351
technology,0.003398742859773532
win,0.0031164653924758904
camiq,0.0030925894019854863
smart,0.0030145073952937643
ces2018,0.0030022692294281593
machinelearning,0.0029825609782379607
cloudcomputing,0.00297336955346599
googleassistant,0.002921075459151654
music,0.0029199586068818888
iphone,0.0028800177491296168
aws,0.0027759373017078055
ad,0.0027447096631778517
windows,0.002737580600150017
website,0.002617024779298385
podcast,0.002496753853477315
rankbio,0.002389580375722392
vr,0.0023467511372529614
fintech,0.0023325242660056957
reinvent,0.0022133023888892133
speaker,0.0021941994515546188
home,0.0021644216241202305
fire,0.002156149199064999
usa,0.0021330681907403897
superbowl,0.0021221289834563164
ecommerce,0.0021188652505886004
news,0.002118112262089379
windows10,0.0020500263710754186
smartphones,0.002029628386674403
android,0.0019857785600603762
tablet,0.0019092065919809823
jeffbezos,0.0018933491036564212
blog,0.0018722727794887237
cloud,0.0018470170856215778
tunein,0.0017337636115557582
privacy,0.0017279352561138791
ios,0.0017213594727705046
smartcity,0.0016143047537717393
apps,0.0016121848325215222
digital,0.001592210412268903
skills,0.0015791859486492287
security,0.001574954541988103
keynote,0.001561732211037969
prescientinfo,0.001559671142372964
mobile,0.0015320020818174653
androiddev,0.0015247868795388053
intelligent,0.0015194497346867407
morning,0.0014961584434662746
conference,0.0014834377521534745
lastgadget,0.0014630919540933724
assistant,0.0014549113707395139
healthcare,0.0014544462933933876
business,0.0014225769452931882
firetv,0.0014213042995462487
shopping,0.0014052715225660642
ces18,0.001402798147448194
ar,0.0013919433040677687
chatbot,0.001373212639427092
giveaway,0.00137183104259569
chatbots,0.0013703250788059157
wearable,0.0013694043906582619
vo,0.001357520594622177
bots,0.001350766053856654
humor,0.0013492354801601606
makeupartist,0.001347847660782992
virtualassistant,0.001334367651465735
health,0.0013215295631635949
bigdata,0.001317362769808252
innovation,0.0013120744554863274
smarthouseaz,0.0012931931578274577
prize,0.001287421119399346
digitalassistants,0.0012683753381389916
app,0.0012626902755592982
windows8,0.0012561847969251613
funny,0.0012507260082560358
filehistory,0.0012499027922988966
weather,0.0012432610928087356
kodi,0.0012269962608079336
nowplaying,0.001217085989280549
ml,0.0012057708866438776
chance,0.001202913721261459
realtor,0.0011987259402540952
networktools,0.0011977173113502694
webtraffic,0.0011960079501177414
lol,0.0011733066071790157
realestate,0.0011653145327254822
twitter,0.0011553914900027597
sleep,0.001147367698008317
serp,0.0011265953768033298
marketing,0.0011235166566968028
fiverrgig,0.0011176526683459784
deeplearning,0.0011117981781181298
dot,0.0011084117181809669
makeup,0.0010994340374517646
vui,0.0010938687365198189
tbt,0.0010928246646033737
voiceactor,0.0010920376373155384
summit,0.0010815689220080485
gadgets,0.0010769577096932596
iphonex,0.001075336396068514
enter,0.0010729631817627653
traffic,0.0010707059971249771
realtors,0.0010627748743875334
cumbria,0.0010479242514536454
searchengine,0.0010421365147356171
lighting,0.0010381644890575497
howto,0.0010375645701200156
deals,0.0010330764661132326
holiday,0.0010299041403908865
siriouslysusan,0.0010225275354557584
speaking,0.0010139852351996376
arri,0.001009124220844643
throwbackthursday,0.0010040580512018834
boston,0.0010000730269277547
electronics,0.0009924111476357122
mobileapp,0.0009898931955111645
cx,0.0009698875445193813
rpa,0.0009698349821659739
cybersecurity,0.0009694307072996184
entrepreneurs,0.0009638894376369946
flashlight,0.0009514792621643207
swiftfest,0.0009500759348378731
itunes,0.0009380568915962856
daily,0.0009368532956003279
tv,0.0009347850326286969
media,0.0009291663609395336
it,0.0009276180501604643
deepmind,0.0009263675002748662
lakedistrict,0.000923516778418536
freetools,0.0009061030065807606
amazonprime,0.0009021224063789799
