node,centrality
alexa,0.925
amazon,0.7262813522355507
siri,0.7228654124457308
ai,0.6273155416012559
tech,0.6025331724969843
echo,0.5982035928143713
cortana,0.5967741935483871
google,0.5958842827318819
apple,0.590600059119125
amazonecho,0.575792507204611
technology,0.5756266205704408
voice,0.5729853742472039
iot,0.5658453695836874
smarthome,0.5579447081820721
googlehome,0.556081269134428
amazonalexa,0.5548458761455152
news,0.5496561210453921
iphone,0.5444141689373297
googleassistant,0.5442658676110051
heygoogle,0.5370967741935484
microsoft,0.5360880064394956
music,0.5353697749196141
echodot,0.5349397590361445
ios,0.5346534653465347
voicefirst,0.5337964199839701
artificialintelligence,0.5328
technews,0.5313829787234042
business,0.5309593409513685
assistant,0.5308182784272051
android,0.529271523178808
home,0.5285714285714286
homepod,0.528152260111023
smart,0.5264822134387351
machinelearning,0.5260663507109005
video,0.5260663507109005
ces2018,0.5239968528717546
innovation,0.5218072603813007
digital,0.5211267605633803
security,0.5209908735332465
aws,0.5209908735332465
marketing,0.5208550573514077
app,0.5207193119624707
gadgets,0.5207193119624707
privacy,0.5203125
vui,0.5201770372298881
mobile,0.5199063231850117
funny,0.5196358907672302
facebook,0.5196358907672302
speaker,0.518961038961039
tv,0.5186915887850467
