,Topic,Word,P
0,0,amazonecho,0.15868645906448364
1,0,alexa,0.10906663537025452
2,0,pagespeed,0.05087395757436752
3,0,rankbio,0.037535279989242554
4,0,speed,0.03310393542051315
5,0,dot,0.025686044245958328
6,0,amazonalexa,0.022059155628085136
7,0,going,0.015482067130506039
8,0,echodot,0.013041871599853039
9,0,dementia,0.0127848070114851
10,0,remeapp,0.012345932424068451
11,0,alzheimers,0.012312319129705429
12,0,mci,0.012307541444897652
13,0,learningdisabilities,0.012264625169336796
14,0,alexaskills,0.01083631906658411
15,0,happy,0.009120712988078594
16,0,conversations,0.008528332225978374
17,0,stick,0.008441505022346973
18,0,feel,0.007467078976333141
19,0,firetv,0.007310565561056137
20,1,alexa,0.11970935761928558
21,1,just,0.03033440187573433
22,1,score,0.029115211218595505
23,1,rating,0.028643835335969925
24,1,play,0.027032751590013504
25,1,say,0.015515229664742947
26,1,know,0.015121005475521088
27,1,2018,0.014237814582884312
28,1,like,0.014213533140718937
29,1,asked,0.011184979230165482
30,1,red,0.010504699312150478
31,1,does,0.009981201030313969
32,1,redstatetalk,0.00958090741187334
33,1,did,0.008669168688356876
34,1,day,0.008062195032835007
35,1,got,0.007989824749529362
36,1,think,0.007982373237609863
37,1,today,0.007934696972370148
38,1,time,0.007796137128025293
39,1,conversation,0.0074714901857078075
40,2,alexa,0.14923343062400818
41,2,amazon,0.06119772419333458
42,2,new,0.022718075662851334
43,2,skill,0.02010863646864891
44,2,com,0.01786045916378498
45,2,voice,0.016939492896199226
46,2,voicefirst,0.014388722367584705
47,2,insights,0.01291438564658165
48,2,thanks,0.012778611853718758
49,2,echo,0.011863782070577145
50,2,latest,0.011388572864234447
51,2,skills,0.011359202675521374
52,2,ranking,0.010739258490502834
53,2,prime,0.010677504353225231
54,2,devices,0.009135333821177483
55,2,enabled,0.008421851322054863
56,2,daily,0.007737013045698404
57,2,news,0.007528036832809448
58,2,use,0.007520477287471294
59,2,speakers,0.007380972616374493
60,3,alexa,0.14477218687534332
61,3,ask,0.08094577491283417
62,3,music,0.04510144889354706
63,3,buddy,0.0423225499689579
64,3,weed,0.04195469990372658
65,3,tell,0.02752373367547989
66,3,does,0.02389160357415676
67,3,playing,0.01605951227247715
68,3,play,0.012469956651329994
69,3,good,0.010936726815998554
70,3,make,0.010772183537483215
71,3,like,0.010712836869060993
72,3,monitoring,0.010344578884541988
73,3,knows,0.010070432908833027
74,3,room,0.008496798574924469
75,3,weather,0.0073994118720293045
76,3,post,0.006864726543426514
77,3,question,0.006819006055593491
78,3,search,0.006625649053603411
79,3,don,0.006507861893624067
80,4,alexa,0.11112193018198013
81,4,google,0.07210296392440796
82,4,website,0.06947967410087585
83,4,rank,0.060575857758522034
84,4,moz,0.04881300404667854
85,4,rankbio,0.04630453512072563
86,4,heygoogle,0.019978009164333344
87,4,traffic,0.01827080361545086
88,4,seo,0.018202630802989006
89,4,googlerank,0.014285460114479065
90,4,optimization,0.012789747677743435
91,4,estimation,0.011753344908356667
92,4,googlehome,0.011572658084332943
93,4,domainauthority,0.011541751213371754
94,4,technology,0.01123370137065649
95,4,live,0.010359491221606731
96,4,dns,0.010183068923652172
97,4,tell,0.008504096418619156
98,4,hotels,0.008493510074913502
99,4,skill,0.008378354832530022
100,5,siri,0.24700503051280975
101,5,apple,0.06697697937488556
102,5,iphone,0.027181476354599
103,5,ios,0.023916583508253098
104,5,friend,0.021327905356884003
105,5,homepod,0.01743430085480213
106,5,ipad,0.015355669893324375
107,5,tesla,0.014412506483495235
108,5,macosmojave,0.011357313022017479
109,5,state,0.010979988612234592
110,5,talkradio,0.010143640451133251
111,5,cleverclogs,0.009791983291506767
112,5,hey,0.009485652670264244
113,5,tell,0.007347265724092722
114,5,better,0.007288555148988962
115,5,voice,0.006923069711774588
116,5,private,0.005535105708986521
117,5,app,0.005449600517749786
118,5,recorded,0.005284584127366543
119,5,ios12,0.005271818023175001
120,6,alexa,0.13550032675266266
121,6,amazon,0.10061118751764297
122,6,echo,0.031964417546987534
123,6,voice,0.022363707423210144
124,6,smart,0.02118312381207943
125,6,home,0.018220096826553345
126,6,contact,0.01693907007575035
127,6,tech,0.01180693507194519
128,6,free,0.011468920856714249
129,6,technology,0.011356470175087452
130,6,speaker,0.010100065730512142
131,6,care,0.0097411023452878
132,6,control,0.009702811017632484
133,6,new,0.009532307274639606
134,6,iot,0.009438082575798035
135,6,smarthome,0.00861610472202301
136,6,artificialintelligence,0.007448316086083651
137,6,primeday,0.0068873455747962
138,6,devices,0.006882521789520979
139,6,security,0.005947801750153303
140,7,alexa,0.07943964004516602
141,7,blog,0.041276246309280396
142,7,siriismyfriend,0.03143446519970894
143,7,webpage,0.01708708144724369
144,7,listening,0.016485007479786873
145,7,video,0.01376222912222147
146,7,don,0.013548795133829117
147,7,keyword,0.01309537049382925
148,7,turn,0.01296191569417715
149,7,privacy,0.011425822041928768
150,7,just,0.010963071137666702
151,7,house,0.01074883621186018
152,7,things,0.00920756533741951
153,7,mccartney,0.009051334112882614
154,7,radio,0.00835350714623928
155,7,article,0.008279683068394661
156,7,new,0.007262525614351034
157,7,sound,0.007225689943879843
158,7,sent,0.006958878133445978
159,7,internet,0.006414022296667099
160,8,cortana,0.05444779992103577
161,8,page,0.052241623401641846
162,8,authority,0.04422925040125847
163,8,assistant,0.03765255585312843
164,8,google,0.03497827425599098
165,8,alexa,0.028108449652791023
166,8,mac,0.025411659851670265
167,8,icloud,0.024303030222654343
168,8,googleassistant,0.020503876730799675
169,8,voice,0.017216680571436882
170,8,microsoft,0.016337454319000244
171,8,shortcuts,0.015933886170387268
172,8,assistants,0.011956813745200634
173,8,digital,0.010306449607014656
174,8,data,0.008918294683098793
175,8,getting,0.008441359736025333
176,8,windows,0.00642082653939724
177,8,like,0.006394948810338974
178,8,use,0.006304481066763401
179,8,change,0.006246937904506922
180,9,alexa,0.13963425159454346
181,9,amazon,0.050948336720466614
182,9,coming,0.017728066071867943
183,9,soon,0.013938088901340961
184,9,amazonprime,0.013661861419677734
185,9,used,0.013216315768659115
186,9,best,0.012747406028211117
