edges,weight
"('machinelearning', 'skills')",372.0
"('ces2018', 'wearable')",371.0
"('ces18', 'wearable')",371.0
"('amazonecho', 'echodot')",370.0
"('amazonecho', 'vr')",368.0
"('amazonecho', 'wearable')",367.0
"('amazonecho', 'ces18')",367.0
"('bigdata', 'skills')",367.0
"('vr', 'wearable')",367.0
"('vr', 'ces18')",367.0
"('alexa', 'lastgadget')",366.0
"('amazonecho', 'lastgadget')",366.0
"('tech', 'lastgadget')",366.0
"('vr', 'lastgadget')",366.0
"('ces2018', 'lastgadget')",366.0
"('ces18', 'lastgadget')",366.0
"('wearable', 'lastgadget')",366.0
"('alexa', 'skills')",363.0
"('conference', 'retreat')",363.0
"('siri', 'app')",358.0
"('virtualassistant', 'echo')",355.0
"('alexa', 'staging')",354.0
"('siri', 'fintech')",354.0
"('alexa', 'traffic')",348.0
"('alexa', 'smarthouseaz')",343.0
"('alexa', 'cybersecurity')",342.0
"('amazon', 'privacy')",338.0
"('siri', 'iphone')",338.0
"('alexa', 'enterprise')",334.0
"('iot', 'virtualassistant')",332.0
"('keynote', 'swiftfest')",332.0
"('siri', 'summit')",329.0
"('technology', 'apple')",328.0
"('echo', 'echodot')",327.0
"('android', 'microsoft')",326.0
"('ai', 'deeplearning')",325.0
"('music', 'nowplaying')",325.0
"('alexa', 'echo')",324.0
"('alexa', 'humor')",324.0
"('conference', 'summit')",322.0
"('siri', 'mobileapp')",315.0
"('siri', 'twitter')",315.0
"('80s', 'tunein')",315.0
"('apps', 'microsoft')",314.0
"('music', 'kodi')",314.0
"('80s', 'nowplaying')",314.0
"('80s', 'kodi')",314.0
"('kodi', 'tunein')",314.0
"('kodi', 'nowplaying')",314.0
"('tunein', 'nowplaying')",314.0
"('smarthouseaz', 'smartcity')",313.0
"('alexa', 'interview')",312.0
"('ai', 'mobileapp')",311.0
"('amazon', 'news')",311.0
"('virtualassistant', 'smartphones')",311.0
"('echo', 'smartphones')",310.0
"('virtualassistant', 'mobileapp')",309.0
"('echo', 'mobileapp')",309.0
"('smartphones', 'mobileapp')",309.0
"('siri', 'sleep')",305.0
"('smarthome', 'heygoogle')",304.0
"('voice', 'virtualassistants')",302.0
"('alexa', 'realestate')",301.0
"('siri', 'flashlight')",300.0
"('sleep', 'flashlight')",300.0
"('sleep', 'iphone')",300.0
"('sleep', 'app')",300.0
"('android', 'apps')",300.0
"('iphone', 'flashlight')",300.0
"('flashlight', 'app')",300.0
"('alexa', 'popular')",299.0
"('sleep', 'weather')",298.0
"('iphone', 'weather')",298.0
"('flashlight', 'weather')",298.0
"('weather', 'app')",298.0
"('alexa', 'machinelearning')",297.0
"('alexa', 'holiday')",296.0
"('iot', 'smartlife')",295.0
"('amazon', 'siri')",292.0
"('ai', 'smarthome')",288.0
"('amazon', 'smart')",288.0
"('siri', 'icymi')",288.0
"('cortana', 'build2018')",288.0
"('ai', 'bots')",287.0
"('alexa', 'strain')",283.0
"('strain', 'popular')",283.0
"('alexa', 'mobile')",281.0
"('amazon', 'smartlife')",281.0
"('siri', 'androiddev')",280.0
"('windows', 'android')",280.0
"('tech', 'apple')",278.0
"('voicefirst', 'aws')",277.0
"('alexa', 'nicebotskill')",276.0
"('alexa', 'marketing')",275.0
"('ai', 'cortana')",275.0
"('siri', 'siriouslysusan')",274.0
"('alexa', 'voicefirst')",273.0
"('ai', 'innovation')",273.0
"('alexa', 'artificialintelligence')",271.0
"('windows', 'apps')",271.0
"('ai', 'ecommerce')",270.0
"('windows', 'androiddev')",270.0
"('android', 'androiddev')",270.0
"('apps', 'androiddev')",270.0
"('microsoft', 'androiddev')",270.0
"('alexa', 'pandora')",267.0
"('siri', 'news')",266.0
"('siri', 'isil')",266.0
"('amazon', 'parenting')",265.0
"('alexa', 'build2018')",264.0
"('alexa', 'networktools')",263.0
"('searchengine', 'seo')",263.0
"('seo', 'networktools')",263.0
"('alexa', 'tbt')",262.0
"('cloud', 'aws')",262.0
"('alexa', 'parrot')",261.0
"('iot', 'smartcity')",260.0
"('searchengine', 'networktools')",260.0
"('siriouslysusan', 'keynote')",258.0
"('siriouslysusan', 'swiftfest')",258.0
"('boston', 'keynote')",258.0
"('boston', 'swiftfest')",258.0
"('alexa', 'dementia')",257.0
"('dementia', 'alzheimers')",257.0
"('alexa', 'historicalfiction')",256.0
"('alexa', 'grasmere')",256.0
"('voicefirst', 'fintech')",256.0
"('grasmere', 'cumbria')",256.0
"('alexa', 'it')",253.0
"('siri', 'accidentalyfamous')",253.0
"('siriouslysusan', 'accidentalyfamous')",253.0
"('boston', 'accidentalyfamous')",253.0
"('keynote', 'accidentalyfamous')",253.0
"('swiftfest', 'accidentalyfamous')",253.0
"('alexa', 'cx')",252.0
"('alexa', 'interiordesigners')",252.0
"('alexa', 'rpa')",252.0
"('ai', 'rpa')",252.0
"('podcast', 'music')",252.0
"('twitter', 'music')",252.0
"('alexa', 'nowplaying')",250.0
"('healthcare', 'healthit')",250.0
"('alexa', 'maga')",249.0
"('amazon', 'lol')",249.0
"('alexa', 'alzheimers')",247.0
"('alexa', 'dot')",246.0
"('voice', 'rpa')",246.0
"('virtualassistants', 'rpa')",246.0
"('ai', 'ar')",245.0
"('dementia', 'remeapp')",245.0
"('siri', 'business')",244.0
"('tech', 'news')",244.0
"('alexa', 'remeapp')",243.0
"('alexa', 'mci')",243.0
"('amazon', 'echoshow')",243.0
"('dementia', 'mci')",243.0
"('alzheimers', 'remeapp')",243.0
"('alzheimers', 'mci')",243.0
"('remeapp', 'mci')",243.0
"('amazon', 'holiday')",242.0
"('siri', 'tesla')",242.0
"('echo', 'holiday')",242.0
"('alexa', 'msbuild')",241.0
"('alexa', 'skyrim')",241.0
"('ai', 'chatbot')",241.0
"('tech', 'cat')",241.0
"('alexa', 'itunes')",240.0
"('amazon', 'fire')",239.0
"('music', 'dance')",239.0
"('ai', 'mobile')",237.0
"('siri', 'homekit')",237.0
"('alexa', 'onairnow')",236.0
"('amazon', 'microsoft')",236.0
"('siri', 'rpa')",236.0
"('ifttt', 'nowplaying')",236.0
"('tunein', 'onairnow')",236.0
"('alexa', 'travel')",235.0
"('ai', 'lol')",234.0
"('amazon', 'win')",233.0
"('alexa', 'ar')",231.0
"('alexa', 'blackmirror')",231.0
"('alexa', 'funny')",230.0
"('ai', 'sciencefiction')",230.0
"('iot', 'influencers')",230.0
"('amazon', 'influencers')",230.0
"('siri', 'event')",230.0
"('echo', 'dot')",230.0
"('smartlife', 'influencers')",230.0
"('rankbio', 'googlerank')",230.0
"('insurtech', 'fintech')",229.0
"('alexa', 'throwbackthursday')",228.0
"('siri', 'metalpay')",228.0
"('cortana', 'googleassistant')",228.0
"('ios', 'metalpay')",228.0
"('africangrey', 'parrot')",228.0
"('ai', 'cloud')",227.0
"('amazon', 'tbt')",227.0
"('smarthome', 'smartcity')",227.0
"('cortana', 'rpa')",227.0
"('ios', 'icymi')",227.0
"('funny', 'parrot')",227.0
"('icymi', 'metalpay')",227.0
"('alexa', 'facebook')",226.0
"('echo', 'echoshow')",226.0
"('echodot', 'firetv')",226.0
"('tbt', 'throwbackthursday')",226.0
"('funny', 'africangrey')",226.0
"('cia', 'infowars')",226.0
"('siri', 'shortcuts')",225.0
"('ai', 'tbt')",224.0
"('ai', 'throwbackthursday')",224.0
"('amazon', 'throwbackthursday')",224.0
"('echo', 'cat')",224.0
"('voicefirst', 'throwbackthursday')",224.0
"('voicefirst', 'lol')",224.0
"('voicefirst', 'tbt')",224.0
"('lol', 'throwbackthursday')",224.0
"('lol', 'tbt')",224.0
"('cat', 'gift')",224.0
"('alexa', 'ai')",223.0
"('alexa', 'sale')",223.0
"('amazon', 'giveaway')",223.0
"('alexa', 'prescientinfo')",222.0
"('optimization', 'rankbio')",222.0
"('alexa', 'csharpcon18')",221.0
"('alexa', 'domainauthority')",221.0
"('ai', 'voicefirst')",221.0
"('msbuild', 'build2018')",221.0
"('alexa', 'iotforum')",219.0
"('alexa', 'parties')",219.0
"('alexa', 'skillblueprints')",219.0
"('voice', 'build2018')",219.0
"('zwave', 'iotforum')",219.0
"('zwave', 'realtors')",219.0
"('iotforum', 'realtors')",219.0
"('alexa', 'parents')",218.0
"('iot', 'designthinking')",218.0
"('amazon', 'podcast')",218.0
"('amazon', 'parties')",218.0
"('echo', 'parties')",218.0
"('holiday', 'parties')",218.0
"('event', 'summit')",218.0
"('alexa', 'optimization')",217.0
"('rankbio', 'pagespeed')",216.0
"('alexa', 'polly')",215.0
"('speaker', 'voiceactor')",215.0
"('podcast', 'humanvoice')",215.0
"('podcast', 'thrivinglaunch')",215.0
"('alexa', 'heating')",214.0
"('echo', 'podcast')",213.0
"('zwave', 'designthinking')",213.0
"('iotforum', 'designthinking')",213.0
"('realtors', 'designthinking')",213.0
"('conference', 'event')",213.0
"('iot', 'iotforum')",212.0
"('iot', 'realtors')",212.0
"('iot', 'zwave')",212.0
"('amazon', 'superbowl')",212.0
"('zwave', 'realestate')",212.0
"('realestate', 'iotforum')",212.0
"('realestate', 'realtors')",212.0
"('iot', 'realestate')",211.0
"('vr', 'ar')",211.0
