node,centrality
alexa,0.9374687343671835
amazon,0.6298149074537268
siri,0.6263131565782891
ai,0.4167083541770885
tech,0.3526763381690845
echo,0.3401700850425212
cortana,0.336168084042021
google,0.3341670835417709
apple,0.3076538269134567
amazonecho,0.27313656828414207
technology,0.2676338169084542
voice,0.26163081540770383
iot,0.2436218109054527
smarthome,0.22461230615307654
googlehome,0.21260630315157578
amazonalexa,0.2051025512756378
news,0.19009504752376186
googleassistant,0.17408704352176088
iphone,0.1715857928964482
heygoogle,0.15107553776888444
microsoft,0.144072036018009
echodot,0.14307153576788392
music,0.14057028514257128
ios,0.13656828414207103
voicefirst,0.13606803401700848
artificialintelligence,0.1295647823911956
technews,0.12856428214107052
business,0.128064032016008
assistant,0.12556278139069535
android,0.12056028014007003
homepod,0.12056028014007003
home,0.11555777888944471
smart,0.11455727863931965
machinelearning,0.10705352676338169
video,0.10655327663831915
ces2018,0.10155077538769385
security,0.09654827413706853
gadgets,0.09404702351175587
innovation,0.0930465232616308
digital,0.09204602301150575
app,0.09004502251125562
funny,0.08954477238619309
privacy,0.08904452226113056
vui,0.08904452226113056
aws,0.08904452226113056
marketing,0.0880440220110055
tv,0.08704352176088044
mobile,0.08704352176088044
speaker,0.08554277138569284
skills,0.0850425212606303
apps,0.08154077038519258
smartspeaker,0.08054027013506752
primeday,0.07903951975987994
facebook,0.0785392696348174
voiceassistant,0.07553776888444222
fire,0.07403701850925462
virtualassistant,0.07303651825912956
chatbots,0.07253626813406702
ml,0.07153576788394196
seo,0.07153576788394196
ces,0.07153576788394196
amazonprime,0.06953476738369184
ecommerce,0.06903451725862932
shopping,0.06703351675837918
future,0.06703351675837918
nlp,0.06703351675837918
windows10,0.06603301650825412
firetv,0.06603301650825412
devices,0.0655327663831916
new,0.0655327663831916
streaming,0.0655327663831916
windows,0.06503251625812906
usa,0.06503251625812906
podcast,0.06453226613306653
skill,0.06453226613306653
cloud,0.064032016008004
free,0.06303151575787894
iphonex,0.0625312656328164
data,0.062031015507753876
retail,0.062031015507753876
fintech,0.06153076538269134
chatbot,0.06153076538269134
automation,0.06103051525762881
homeautomation,0.06053026513256628
smartspeakers,0.06053026513256628
vr,0.06003001500750375
superbowl,0.06003001500750375
youtube,0.059529764882441216
love,0.059029514757378686
design,0.059029514757378686
robot,0.058529264632316155
tablet,0.058529264632316155
rt,0.058529264632316155
bots,0.058029014507253625
wifi,0.058029014507253625
deals,0.058029014507253625
sonos,0.057528764382191094
ipad,0.05702851425712856
ar,0.05702851425712856
spotify,0.056528264132066026
lol,0.056028014007003496
kids,0.056028014007003496
camera,0.056028014007003496
echoshow,0.055527763881940966
gadget,0.055527763881940966
christmas,0.055027513756878435
audio,0.054527263631815905
it,0.054527263631815905
alexaskills,0.054027013506753374
smartphone,0.05302651325662831
hd,0.05302651325662831
healthcare,0.052026013006503245
gear,0.052026013006503245
bigdata,0.052026013006503245
cybersecurity,0.052026013006503245
dot,0.051525762881440715
