Id,Label,timeset,no_tweets,no_mentions
2471,siriusxm,,0,20
2479,dexlinxlisting,,1,21
2482,tact_ai,,41,27
2501,arrichannel,,17,197
2502,codecademy,,2,52
2504,mashable,,0,136
2523,gsterling,,0,78
2537,lolore_alexa,,23,31
2538,fab90s,,1,16
2560,bruceboyes,,0,50
2565,gilesalderson,,0,42
2566,thedaremovie,,6,42
2567,35mmdop,,0,42
2568,juliankostov,,0,42
2569,jonnydgrant,,0,42
2570,nuboyana,,0,42
2573,larrykim,,0,255
2580,iheartradio,,0,29
2584,supportiveguru,,0,19
2608,mobilepotpurri,,1,85
2620,mostlyboobz,,0,354
2669,yuuho1128,,2,16
2678,iamsrk,,0,105
2752,economictimes,,19,53
2758,mhiesboeck,,31,111
2760,etpanache,,24,46
2763,sandyalz,,0,23
2795,chonachonawill1,,1,30
2804,nest,,2,56
2807,news_zv,,10,31
2836,wired,,2,230
2852,christbookfinds,,0,17
2872,hthapps,,2,33
2886,vidanov,,36,22
2893,ashwinram,,88,47
2905,twitter,,0,53
2947,podbeancom,,2,43
2954,two_apps,,1,16
2963,king69aleandro1,,0,68
2969,jbtubee,,0,44
3039,applenews,,0,16
3044,mkbhd,,0,56
3057,ebay,,0,57
3102,madebygoogle,,9,355
3107,macrumors,,0,29
3119,brianroemmele,,184,1108
3123,cultofmac,,0,18
3150,techreview,,0,88
3158,ultimateears,,0,24
3168,sleekdeals,,9,114
3175,mit,,0,26
3232,jela9ja,,19,49
3258,daboomalik,,0,16
3263,latestdealsuk,,0,25
3265,televisa_prensa,,3,33
3266,lavozmexico,,1,376
3267,carlosvives,,3,62
3284,microsoftajuda,,32,17
3299,rodney_walker,,0,81
3317,bauhuber,,8,22
3354,sdelale,,55,36
3395,itempathy,,141,154
3400,psb_dc,,143,297
3401,fortunemagazine,,0,25
3415,tomfishburne,,0,23
3435,bbc,,0,26
3467,paulcutsinger,,122,118
3493,plex,,2,47
3519,hacksterio,,59,76
3536,androidauth,,0,118
3537,amazonca,,0,63
3553,horizont,,30,40
3577,bsteveker,,0,298
3589,instagram,,0,18
3618,windowslove_de,,0,37
3719,motherboard_de,,0,28
3743,agnessmaureen,,0,41
3757,komm_online,,2,15
3771,retaildive,,1,45
3790,globaliqx,,0,42
3804,yourstoryco,,13,47
3873,crestron,,11,39
3914,amazonfiretv,,0,60
3920,reneritchie,,12,205
3924,fastcompany,,0,85
3929,ring,,0,55
3971,winfuture,,0,20
