node,centrality
alexa,0.9411487758945386
amazon,0.7298284045271997
siri,0.7279679533867444
ai,0.6315955766192733
tech,0.6070452474946857
echo,0.6024713682941532
cortana,0.6010222489476849
google,0.6003003003003003
apple,0.5908956547443098
amazonecho,0.5790845886442642
technology,0.5772451631533353
voice,0.575251798561151
iot,0.5693534605525491
smarthome,0.5632572555649479
googlehome,0.5594738315141338
amazonalexa,0.5571348940914158
news,0.5525152017689331
googleassistant,0.5476712328767124
iphone,0.546922024623803
heygoogle,0.5408549783549783
microsoft,0.5388140161725068
echodot,0.5385237068965517
music,0.5377993005111649
ios,0.5366442953020134
voicefirst,0.5365002683843264
artificialintelligence,0.5346349291254346
technews,0.5343491045175087
business,0.5339209401709402
assistant,0.5334934614358153
android,0.5320734628693106
homepod,0.5320734628693106
home,0.5306610034510221
smart,0.5303794109843459
machinelearning,0.528276955602537
video,0.5281373844121532
ces2018,0.5267457180500659
security,0.5248096613284327
innovation,0.5243966421825813
gadgets,0.5242591135588776
digital,0.5241216570529628
app,0.5235725510738607
funny,0.5234354543074103
privacy,0.5232984293193718
vui,0.5232984293193718
aws,0.5230245944531658
marketing,0.5230245944531658
mobile,0.5227510460251046
speaker,0.5223412594721714
tv,0.5220684251762863
skills,0.5219321148825066
apps,0.5209799322387282
smartspeaker,0.5209799322387282
facebook,0.5204373860973704
primeday,0.5200312174817898
voiceassistant,0.519625682349883
virtualassistant,0.518951194184839
ml,0.5185473411154345
chatbots,0.5185473411154345
seo,0.5185473411154345
ces,0.5185473411154345
ecommerce,0.5176074572760228
future,0.5173395445134575
nlp,0.5170719089498189
windows,0.516804550155119
shopping,0.516804550155119
windows10,0.516804550155119
firetv,0.516804550155119
podcast,0.5166709744119927
fire,0.5166709744119927
devices,0.5166709744119927
new,0.5165374677002584
usa,0.5165374677002584
streaming,0.516404029966417
amazonprime,0.5162706611570248
free,0.5162706611570248
cloud,0.5161373612186935
iphonex,0.5161373612186935
skill,0.5161373612186935
data,0.5160041300980899
retail,0.5160041300980899
automation,0.5157378740970072
homeautomation,0.5156048491101367
smartspeakers,0.5156048491101367
chatbot,0.5156048491101367
vr,0.5154718927282104
