edge,centrality
"('alexa', 'musictaughtme')",0.0009156283182286059
"('alexa', 'visualartsgmu')",0.0009156283182286059
"('alexa', 'vagov')",0.0009156283182286059
"('alexa', 'roku')",0.0009151459478345744
"('alexa', 'mtndewice')",0.0009078117608415702
"('alexa', '4ir')",0.0009062339412901909
"('alexa', 'stock')",0.0009052266409344558
"('alexa', 'case')",0.0008956381508067657
"('alexa', 'dakotajohnson')",0.0008895648167746657
"('alexa', 'tpain')",0.0008862471140886784
"('alexa', 'kodakblack')",0.0008862471140886784
"('alexa', 'floridaboy')",0.0008862471140886784
"('alexa', 'blackhistory')",0.0008824589298441608
"('alexa', 'newyear2018')",0.0008796030728831026
"('alexa', 'woman')",0.0008769668208326131
"('alexa', 'chief')",0.0008585059416917408
"('alexa', 'code')",0.0008514885506008697
"('alexa', 'logitech')",0.0008496844033493567
"('alexa', 'wwtbam')",0.0008414227377356906
"('alexa', 'maps')",0.0008408438609671773
"('alexa', 'maga2018')",0.0008325085469341635
"('alexa', 'aogdevs')",0.0008319083630726652
"('alexa', 'securityaffairs')",0.0008277358855673082
"('alexa', 'healthit')",0.0008228765037076466
"('alexa', 'commoncore')",0.0008213752972190558
"('alexa', 'sirifail')",0.0008194099726292151
"('alexa', 'winners')",0.000812741420094411
"('alexa', 'send')",0.0008103655144467986
"('alexa', 'shp')",0.0008054904992205843
"('alexa', 'arrialexa')",0.0008044624862436584
"('alexa', 'pc')",0.0007934172313153651
"('alexa', 'mindsphere')",0.0007916099751529967
"('alexa', 'facetime')",0.0007861618614601085
"('alexa', 'cock')",0.0007840404272129289
"('alexa', 'mugabe')",0.0007766433518390471
"('alexa', 'globalnewsmorning')",0.0007766433518390471
"('alexa', 'smallbusiness')",0.0007635375440181479
"('alexa', 'onair')",0.0007605498876407323
"('alexa', 'cnn')",0.0007603861793461
"('alexa', 'windowsinsiders')",0.0007575865411100992
"('alexa', 'alexafrancesofficial')",0.0007558405682358186
"('alexa', 'ashes')",0.0007480519683117575
"('alexa', 'compatible')",0.0007457481704356856
"('alexa', 'pikachat')",0.0007435009785743193
"('alexa', 'daughterlovemother')",0.0007431409217557543
"('alexa', 'patriots')",0.0007411650495383749
"('alexa', 'energy')",0.0007404511861361518
"('alexa', 'wearable')",0.0007397290729221814
"('alexa', 'newheatalert')",0.0007395287678859672
"('alexa', 'ontheblock')",0.0007395287678859672
"('alexa', 'selfie')",0.0007315939676618516
"('alexa', 'macbookpro')",0.0007294490230008334
"('alexa', 'hilarious')",0.0007266482137571696
"('alexa', 'tags')",0.0007212056398511219
"('alexa', 'fantasy')",0.000720354987440909
"('alexa', 'furby')",0.0007198781940001821
"('alexa', 'satire')",0.0007193048450427988
"('alexa', 'checktraffic')",0.0007186324662817655
"('alexa', 'teams')",0.0007185790854781362
"('alexa', 'chromebook')",0.0007167236013826103
"('alexa', 'thedare')",0.000710417594920359
"('alexa', 'raspberrypi')",0.0007094998692335572
"('alexa', 'bloodpressure')",0.0007085892265557808
"('alexa', 'moviemusic')",0.0007027601633211293
"('alexa', 'scotusnominee')",0.000701231646174849
"('alexa', 'americaiswaiting')",0.000701231646174849
"('alexa', 'orderextrapopcorn')",0.000701231646174849
"('alexa', 'np')",0.000696233059972731
"('alexa', 'googleposition')",0.0006954140173035917
"('alexa', 'heyalexa')",0.0006821938693159727
"('alexa', 'kenya')",0.0006724510775291498
"('alexa', 'southpark')",0.0006702493080148223
"('alexa', 'drupal')",0.0006693758083749256
"('alexa', 'alexafail')",0.0006685672897844756
"('alexa', 'strain')",0.0006642258141589208
"('alexa', 'queen')",0.0006598780447495735
"('alexa', 'vcommerce')",0.0006485396933927457
"('alexa', 'available')",0.0006453811073712666
"('alexa', 'portable')",0.0006439867871268631
"('alexa', 'olympics')",0.000643665502924173
"('alexa', 'mobileapps')",0.0006400398877263693
"('alexa', 'cosplay')",0.0006357212789261313
"('alexa', 'fiverrgig')",0.0006330625307499172
"('alexa', 'question')",0.0006325866367112453
"('alexa', 'hoet60secrec')",0.0006161239564144348
"('alexa', 'anna')",0.0006129410469756196
"('alexa', 'johnson')",0.0006123920398427398
"('alexa', 'influencers')",0.0006106917229845869
"('alexa', 'alien')",0.0006074391594738071
"('alexa', 'allnew')",0.0006068061739510356
"('alexa', 'dynamics365')",0.0006060721866386453
"('alexa', 'ic')",0.0006025402853881739
"('alexa', 'dvr')",0.0005976148458673707
"('alexa', 'date')",0.0005974707395832072
"('alexa', 'cinematography')",0.0005871569775242607
"('alexa', 'friday')",0.0005730297160901806
"('alexa', 'dolphinattack')",0.0005584284169804436
"('alexa', 'shade')",0.0005583942791939672
"('alexa', 'patientsatisfaction')",0.0005550265787742781
"('alexa', 'sb2018')",0.0005515659569444865
"('alexa', 'paranoia')",0.0005492590562751866
"('alexa', 'lilpump')",0.0005489472882674909
"('alexa', 'potato')",0.0005441124636149419
"('alexa', 'events')",0.0005379755781233002
"('alexa', 'mwc18')",0.0005313042394727578
"('alexa', 'omronpartner')",0.0005292729617549702
"('alexa', 'israel')",0.0005279766763352019
"('alexa', 'cognitive')",0.0005270629510191513
"('alexa', 'promocode')",0.0005246994537716208
"('alexa', 'purchase')",0.0005246170337104183
"('alexa', 'googleplay')",0.0005234615447890822
"('alexa', 'responses')",0.0005231715768706182
"('alexa', 'monetization')",0.0005198490961530993
"('alexa', 'pacemaker')",0.0005197823901681189
"('alexa', 'heygoogoo')",0.0005163940307756118
"('alexa', 'leaked')",0.0005157625293522997
"('alexa', 'voicestrategy')",0.000515001160672455
"('alexa', 'siemens')",0.0005128893663851589
"('alexa', 'primeday2018')",0.000512885559269417
"('alexa', 'adt')",0.0005040747163267094
"('alexa', 'autismawareness')",0.0004933466214553955
"('alexa', 'bottish')",0.00048515052746750495
"('alexa', 'winterolympics')",0.0004801094451313374
"('alexa', 'mindblown')",0.00047858641538929883
"('alexa', 'travelling')",0.0004785733344175085
"('alexa', 'ces2017')",0.0004770993782019892
"('alexa', 'textmessages')",0.0004763152135997408
"('alexa', 'entrepreneurs')",0.0004680109859199998
"('alexa', 'canyouhearmenow')",0.00046704526563622924
"('alexa', 'niajax')",0.0004648435908782992
"('alexa', 'glennevis')",0.0004610843004621339
"('alexa', 'jacobite')",0.0004610843004621339
"('alexa', 'glencoe')",0.0004610843004621339
"('alexa', 'glenetive')",0.0004610843004621339
"('alexa', 'directorscut')",0.0004610843004621339
"('alexa', '2001aspaceodyssey')",0.0004604540921280025
"('alexa', 'fashiontech')",0.0004568021908185259
"('alexa', 'syria')",0.00045125912236801223
"('alexa', 'precisionag')",0.0004509722934472187
"('alexa', 'soilhealth')",0.0004509722934472187
"('alexa', 'texas')",0.0004461860865662897
"('alexa', '80s')",0.00044494916943317293
"('alexa', 'lalate')",0.00044353170840353006
"('alexa', 'webpage')",0.0004370102965633884
"('alexa', 'soundbot')",0.00043687031611413304
"('alexa', 'flogo')",0.0004362178466548158
"('alexa', 'abhisheksingh')",0.00043072937388752156
"('alexa', 'drinking')",0.00043072937388752123
"('alexa', 'firetablet')",0.00042989490161753535
"('alexa', 'avalon')",0.000424904403747667
"('alexa', 'windowsphone')",0.00042366990763458934
"('alexa', 'deepmusic')",0.00041851520424594866
"('alexa', 'thermometer')",0.00040139715642718377
"('alexa', 'guccigang')",0.00039508746840949925
"('alexa', 'smallbiz')",0.00039451608887522145
"('alexa', 'tunesday')",0.0003918548515440785
"('alexa', 'universetoday')",0.0003827361139700652
"('alexa', 'astronomy')",0.00038273611397006516
"('alexa', 'entune')",0.00035934690052489583
"('alexa', 'cambridgeanalytica')",0.0003239470340707481
"('alexa', 'voiceassist')",0.0003225687412916745
"('alexa', 'mvava')",0.00032119022720743576
"('alexa', 'touchswitch')",0.00032119022720743576
"('alexa', 'complicated')",0.0003039795848266962
"('alexa', 'healthyliving')",0.0002983894541814331
"('alexa', 'officebot')",0.0002884929139141266
"('alexa', 'moethennessyusa')",0.00024935651367340774
"('alexa', 'entertowin')",0.00024471291650597014
