node,centrality
alexa,0.9204204204204204
amazon,0.6251251251251251
siri,0.6211211211211212
ai,0.4139139139139139
tech,0.34884884884884887
echo,0.33483483483483484
cortana,0.3313313313313313
google,0.3308308308308308
apple,0.31681681681681684
amazonecho,0.2727727727727728
technology,0.26926926926926925
voice,0.26126126126126126
iot,0.24174174174174173
smarthome,0.22022022022022023
googlehome,0.2112112112112112
amazonalexa,0.2067067067067067
news,0.1906906906906907
googleassistant,0.17267267267267267
iphone,0.17217217217217218
heygoogle,0.14864864864864866
microsoft,0.14614614614614616
echodot,0.14214214214214213
music,0.14214214214214213
ios,0.13963963963963963
voicefirst,0.13613613613613612
artificialintelligence,0.13163163163163163
technews,0.13163163163163163
business,0.12762762762762764
assistant,0.12562562562562563
android,0.12162162162162161
homepod,0.12012012012012012
home,0.11711711711711711
smart,0.11261261261261261
video,0.11011011011011011
machinelearning,0.1086086086086086
ces2018,0.1016016016016016
security,0.09559559559559559
gadgets,0.0940940940940941
digital,0.09309309309309309
innovation,0.09309309309309309
aws,0.0915915915915916
marketing,0.09109109109109109
app,0.09009009009009009
funny,0.08958958958958958
tv,0.08858858858858859
privacy,0.08808808808808809
vui,0.08808808808808809
mobile,0.08658658658658659
speaker,0.08608608608608609
facebook,0.08508508508508508
